SMILES,Ered_ag,syba_score
CCCN1CCN(CC)c2cc3nsnc3c(OC)c21,-2.55,14.66257203
CCNc1c2c(c(CC)c3nsnc13)C1CCC2C1,-2.32,10.83762846
CCNc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.74,10.17519823
CNc1cc2c(c3nsnc13)CC(C)CO2,-2.43,-3.959094996
CCNc1c2c(cc3nsnc13)OCC2C,-2.41,1.39217073
CCCN1CN(C)c2c1cc1nsnc1c2NC,-2.58,7.374921259
CCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,-2.52,10.42669581
CNc1c2c(c(C)c3nsnc13)OC(C)C2,-2.58,-2.430994442
CNc1c2c(cc3nsnc13)OCCN2C,-2.45,6.497864711
CCC1Cc2c(c(C)c3nsnc3c2C)O1,-2.43,-2.544538693
CCNc1c2c(cc3nsnc13)OC(C)C(C)O2,-2.54,2.695012363
CNc1cc2c(c3nsnc13)CCCO2,-2.48,12.66675293
CCCCNc1cc(C)cc2nsnc12,-2.38,49.98323708
CCNc1cc2c(c3nsnc13)C(C)(C)CO2,-2.49,3.879816262
CCN1CN(C(C)C)c2c1cc1nsnc1c2NC,-2.8,11.16379964
Cc1c2c(c(OC(C)C)c3nsnc13)OC(C)CO2,-2.32,-8.186193187
CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74,17.00429689
CCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.74,8.713410778
CCN1CN(C)c2c1cc1nsnc1c2C,-2.74,-0.377826902
CCC1Oc2c(cc3nsnc3c2C)OC1C(C)C,-2.52,-10.4757961
CCNc1cc2c(c3nsnc13)CCO2,-2.44,10.10967462
CNc1c2c(cc3nsnc13)OC(C)C2,-2.41,-0.316732842
CCN1CN(C)c2cc3nsnc3c(NC)c21,-2.76,0.780754734
CCCNc1c2c(c(C)c3nsnc13)C1CCC2C1,-2.67,14.56024627
CCCCN1CN(C)c2c1cc1nsnc1c2NC,-2.76,14.23901332
CCNc1c2c(cc3nsnc13)C1CCC2C1,-2.45,-2.089758136
CCN1CN(C)c2c1cc1nsnc1c2NCC(C)C,-2.76,18.29954432
CCN1c2cc3nsnc3c(NC)c2N(C)C1OC,-2.63,0.811401455
CCC(C)Nc1cc(OC)cc2nsnc12,-2.62,53.46086279
CCNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.66,15.03034295
COCCN1CN(C)c2c1cc1nsnc1c2C,-2.69,11.15487615
CCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.84,4.089071604
CCCN1CN(C)c2cc3nsnc3cc21,-2.75,8.785969833
CCCc1cc(NCC)c2nsnc2c1,-2.38,38.95268615
CCNc1c2c(c(CC)c3nsnc13)OC(C)CO2,-2.54,-3.28775824
